REF_AREA,Reference_area,Frequency of observation,Measure,Unit_of_measure,INSURANCE_TYPE,Insurance_types,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,36.9,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,37.2,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,37.8,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,37.9,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,38.2,A,Normal value,0,Units
AUT,Austria,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,38.1,A,Normal value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,33.6,A,Normal value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,36.4,A,Normal value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,37.1,A,Normal value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,37.8,A,Normal value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,40.6,A,Normal value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,63.8,B,Time series break,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,70.1,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,71.8,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,73.6,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,76.3,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,77.3,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,76.3,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,78.9,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,78.9,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,79.7,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,80.4,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,82.2,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,97.8,A,Normal value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,97.9,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,97.8,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,97.8,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,97.7,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,97.6,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,97.5,E,Estimated value,0,Units
BEL,Belgium,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,97.4,E,Estimated value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,18.2,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,18.2,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,18.1,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,18.1,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,18.6,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,19.2,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,19.9,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,20.8,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,21.9,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,21.6,B,Time series break,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,22.3,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,23.4,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,23.8,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,24.7,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,25.6,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,25.8,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,25,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,24.4,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,24.2,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,24.1,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,24.2,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,24.6,A,Normal value,0,Units
BRA,Brazil,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,25.3,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1995,55,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1996,56,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,57,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,59,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,63,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,65,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,65,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,66,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,66,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,66,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,66,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,67,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,67,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,68,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,68,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,68,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,68,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,67,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,67,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,67,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,67,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,67,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,68,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,68,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,69,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,69,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,69,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,69,A,Normal value,0,Units
CAN,Canada,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2023,69,P,Provisional value,0,Units
COL,Colombia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,5.6,A,Normal value,0,Units
COL,Colombia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,6.1,A,Normal value,0,Units
COL,Colombia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,4.8,A,Normal value,0,Units
COL,Colombia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,4.8,A,Normal value,0,Units
COL,Colombia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,5.7,A,Normal value,0,Units
COL,Colombia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,4.2,A,Normal value,0,Units
COL,Colombia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,7.8,A,Normal value,0,Units
COL,Colombia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,6.9,A,Normal value,0,Units
COL,Colombia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,8.2,A,Normal value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1995,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1996,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,0.2,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,0,E,Estimated value,0,Units
CZE,Czechia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2023,0,E,Estimated value,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,0.8,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,2.6,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,4.3,A,Normal value,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,5.3,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,7.9,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,10.4,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,14.3,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,19.2,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,20,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,21.6,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,24.1,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,27.1,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,28.8,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,31.7,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,32,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,32.6,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,33.6,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,34.9,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,36.9,A,Normal value,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,39.3,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,39.3,D,Definition differs,0,Units
DNK,Denmark,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,45.3,D,Definition differs,0,Units
EST,Estonia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,0.5,A,Normal value,0,Units
EST,Estonia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,1,A,Normal value,0,Units
EST,Estonia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,2.3,A,Normal value,0,Units
EST,Estonia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,3.6,A,Normal value,0,Units
EST,Estonia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2023,4.1,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,9.5,D,Definition differs,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,10.1,D,Definition differs,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,10.6,D,Definition differs,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,11,D,Definition differs,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,11.5,D,Definition differs,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,11.8,D,Definition differs,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,11.6,D,Definition differs,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,11.4,D,Definition differs,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,15.3,B,Time series break,0,Units
